KSU_SIS_COMP_SCI_ANALYSIS_03, 10415,,,,,,,,,,,,,,,,,
KSU_MASTR_TYPE,Term,EMPLID,WID,Sex,KSU Hispanic YN,Ethnic Grp,KSU AmIndian YN,KSU Asian YN,KSU Afr Amer YN,KSU Hawaiian YN,KSU White YN,KSU HS Name,KSU HS City,Citizen Country,KSU First Gen,Academic Plan,Sub-Plan,KSU Undergrad C
DAILY,2132,000397957,871669369,M,N,WHITE,N,N,N,N,Y,Herington High School,Herington,USA,,BCS,BCSCS,SO
DAILY,2132,000398264,882780668,M,N,WHITE,N,N,N,N,Y,Olathe North High School,Olathe,USA,Y,BCS,BCSCS,SR
DAILY,2132,000426848,800483319,M,Y,HISPANIC,N,N,N,N,Y,Junction City Senior Hs,Junction City,USA,,BCS,BCSSE,JU
DAILY,2132,000422550,885428600,M,N,WHITE,N,N,N,N,Y,Onaga High School,Onaga,USA,Y,BCS,BCSCS,SO
DAILY,2132,000429298,859577112,M,N,MULTIRAC,N,Y,N,N,Y,Leavenworth Senior High School,Leavenworth,USA,,BCS,BCSSE,JU
DAILY,2132,000444833,893352023,M,N,WHITE,N,N,N,N,Y,Wakefield High School,Wakefield,USA,,BCS,BCSCS,SR
DAILY,2132,000499511,818333640,M,N,WHITE,N,N,N,N,Y,Olathe East High School,Olathe,USA,,BCS,BCSCS,FR
DAILY,2132,000510551,886039948,M,N,WHITE,N,N,N,N,Y,Clay Center Community Hs,Clay Center,USA,,BCS,BCSCS,SR
DAILY,2132,000510939,886788731,M,N,WHITE,N,N,N,N,Y,Wichita Hs Heights,Wichita,USA,,BCS,BCSSE,SR
DAILY,2132,000574547,805184594,M,N,WHITE,N,N,N,N,Y,Home Schooled Student,,USA,,BCS,BCSCS,SR
DAILY,2132,000574616,895917240,M,N,WHITE,N,N,N,N,Y,Olathe South High School,Olathe,USA,,BCS,BCSCS,SR
DAILY,2132,000577986,864327879,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,KOR,,BCS,BCSCS,SR
DAILY,2132,000576514,857329480,M,N,WHITE,N,N,N,N,Y,Great Bend High School,Great Bend,USA,,BCS,BCSSE,SR
DAILY,2132,000576648,812960503,M,N,WHITE,N,N,N,N,Y,Manhattan High School,Manhattan,USA,,BCS,BCSCS,SR
DAILY,2132,000585077,835257900,M,N,WHITE,N,N,N,N,Y,Dakota Ridge High School,Littleton,USA,,BCS,BCSCS,SR
DAILY,2132,000585255,828696639,M,N,MULTIRAC,Y,N,N,N,Y,Blue Valley Northwest Hs,Overland Park,USA,,BCS,BCSCS,SR
DAILY,2132,000586001,842709474,M,N,WHITE,N,N,N,N,Y,Bishop Carroll Catholic H S,Wichita,USA,,BCS,BCSCS,SR
DAILY,2132,000588462,887196629,M,N,WHITE,N,N,N,N,Y,Derby High School,Derby,USA,Y,BCS,BCSCS,JU
DAILY,2132,000591118,802252090,M,N,WHITE,N,N,N,N,Y,Ottawa High School,Ottawa,USA,Y,BCS,BCSCS,SR
DAILY,2132,000593347,822307684,M,N,WHITE,N,N,N,N,Y,Hanover School,Hanover,USA,Y,BCS,BCSSE,SR
DAILY,2132,000593887,854166890,M,N,NOTSPEC,N,N,N,N,N,Eureka High School,Eureka,USA,Y,BCS,BCSSE,SR
DAILY,2132,000593881,878316152,M,N,WHITE,N,N,N,N,Y,Medicine Lodge High School,Medicine Lodge,USA,Y,BCS,BCSCS,SR
DAILY,2132,000594591,831835023,M,N,WHITE,N,N,N,N,Y,Bishop Carroll Catholic H S,Wichita,USA,,BCS,BCSCS,SR
DAILY,2132,000594758,828409751,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,CHN,Y,BCS,BCSCS,SR
DAILY,2132,000598488,899082038,M,N,WHITE,N,N,N,N,Y,Pratt High School,Pratt,USA,,BCS,BCSCS,SR
DAILY,2132,000598497,809709926,M,N,WHITE,N,N,N,N,Y,Clifton-Clyde High School,Clyde,USA,,BCS,BCSSE,JU
DAILY,2132,000599552,816011407,M,N,WHITE,N,N,N,N,Y,Shawnee Mission South Hs,Shawnee Mission,USA,,BCS,BCSCS,SR
DAILY,2132,000599984,893493739,M,N,WHITE,N,N,N,N,Y,Columbia High School,Columbia,USA,,BCS,BCSCS,SR
DAILY,2132,000599443,884734066,M,N,WHITE,N,N,N,N,Y,Rockhurst High School,Kansas City,USA,,BCS,BCSCS,SR
DAILY,2132,000604511,813754516,M,N,WHITE,N,N,N,N,Y,Abilene High School,Abilene,USA,Y,BCS,,SR
DAILY,2132,000605316,867742035,M,N,WHITE,N,N,N,N,Y,Saint Thomas Aquinas High Sch,Overland Park,USA,,BCS,BCSSE,SR
DAILY,2132,000608405,845176422,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,CHN,Y,BCS,BCSCS,SR
DAILY,2132,000609099,806420645,M,N,WHITE,N,N,N,N,Y,Parsons Senior High School,Parsons,USA,Y,BCS,BCSCS,SR
DAILY,2132,000610169,848398138,M,N,WHITE,N,N,N,N,Y,Lyndon High School,Lyndon,USA,,BCS,BCSSE,SR
DAILY,2132,000612254,827429362,F,N,WHITE,N,N,N,N,Y,Basehor-Linwood High School,Basehor,USA,,BCS,BCSCS,SR
DAILY,2132,000612291,852696190,M,N,WHITE,N,N,N,N,Y,Olathe Northwest High School,Olathe,USA,,BCS,BCSCS,SR
DAILY,2132,000614061,887451986,M,N,WHITE,N,N,N,N,Y,Field Kindley Memorial Hs,Coffeyville,USA,,BCS,BCSCS,JU
DAILY,2132,000615446,855637297,M,N,WHITE,N,N,N,N,Y,Douglass High School,Douglass,USA,Y,BCS,BCSSE,SR
DAILY,2132,000615800,871678491,M,N,BLACK,N,N,Y,N,N,Out-of-Country High School,,USA,Y,BCS,BCSCS,SR
DAILY,2132,000618164,827106757,M,N,WHITE,N,N,N,N,Y,Great Bend High School,Great Bend,USA,,BCS,BCSCS,JU
DAILY,2132,000618609,862856355,M,N,WHITE,N,N,N,N,Y,Andover High School,Andover,USA,,BCS,BCSCS,SO
DAILY,2132,000619255,821607647,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,TWN,,BCS,BCSCS,JU
DAILY,2132,000619957,877534960,M,N,WHITE,N,N,N,N,Y,Out-of-Country High School,,SAU,Y,BCS,BCSCS,SO
DAILY,2132,000620301,883101002,F,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,CHN,,BCS,BCSCS,SR
DAILY,2132,000622060,854457387,M,N,WHITE,N,N,N,N,Y,Central Plains High School,Claflin,USA,Y,BCS,BCSCS,JU
DAILY,2132,000622153,802093762,M,N,WHITE,N,N,N,N,Y,Emporia Senior High School,Emporia,USA,,BCS,BCSSE,SO
DAILY,2132,000627041,847485616,M,N,WHITE,N,N,N,N,Y,Junction City Senior Hs,Junction City,USA,Y,BCS,BCSCS,JU
DAILY,2132,000627425,863762602,F,N,WHITE,N,N,N,N,Y,Clearwater High School,Clearwater,USA,Y,BCS,BCSCS,JU
DAILY,2132,000627574,866730777,M,N,WHITE,N,N,N,N,Y,Centre Jr/Sr High School,Lost Springs,USA,,BCS,BCSSE,SO
DAILY,2132,000627853,891451972,M,N,WHITE,N,N,N,N,Y,Saint James Academy,Lenexa,USA,,BCS,BCSSE,JU
DAILY,2132,000627966,817865835,M,N,WHITE,N,N,N,N,Y,Shawnee Mission West Hs,Shawnee Mission,USA,,BCS,BCSCS,JU
DAILY,2132,000629233,812368986,M,N,WHITE,N,N,N,N,Y,Leavenworth Senior High School,Leavenworth,USA,Y,BCS,BCSCS,JU
DAILY,2132,000628414,892752801,M,N,NOTSPEC,N,N,N,N,N,Great Bend High School,Great Bend,USA,Y,BCS,BCSSE,JU
DAILY,2132,000628568,848744599,M,N,WHITE,N,N,N,N,Y,Saint Thomas Aquinas High Sch,Overland Park,USA,,BCS,BCSCS,JU
DAILY,2132,000629107,815339535,M,N,WHITE,N,N,N,N,Y,Wichita Northwest High School,Wichita,USA,,BCS,BCSSE,JU
DAILY,2132,000629133,857712663,M,N,WHITE,N,N,N,N,Y,Piper High School,Kansas City,USA,,BCS,BCSSE,SR
DAILY,2132,000630189,866655927,M,N,WHITE,N,N,N,N,Y,Shawnee Mission West Hs,Shawnee Mission,USA,Y,BCS,BCSCS,JU
DAILY,2132,000630193,880821765,M,N,WHITE,N,N,N,N,Y,Olathe South High School,Olathe,USA,,BCS,BCSCS,JU
DAILY,2132,000633305,862389617,M,N,MULTIRAC,Y,N,N,N,Y,Blue Valley High School,Stilwell,USA,Y,BCS,BCSCS,SR
DAILY,2132,000633598,849363328,M,N,WHITE,N,N,N,N,Y,Wellsville High School,Wellsville,USA,,BCS,BCSSE,JU
DAILY,2132,000634550,892109310,M,N,WHITE,N,N,N,N,Y,Shawnee Mission Northwest Hs,Shawnee Mission,USA,,BCS,BCSSE,JU
DAILY,2132,000634638,849480681,M,N,WHITE,N,N,N,N,Y,Derby High School,Derby,USA,Y,BCS,BCSSE,SO
DAILY,2132,000637979,830536181,M,N,WHITE,N,N,N,N,Y,Goddard Senior High School,Goddard,USA,,BCS,BCSCS,JU
DAILY,2132,000639141,866626375,M,N,WHITE,N,N,N,N,Y,Northfield High School,Northfield,USA,Y,BCS,BCSCS,SR
DAILY,2132,000640204,817488328,M,N,WHITE,N,N,N,N,Y,Saint James Academy,Lenexa,USA,,BCS,BCSSE,JU
DAILY,2132,000640419,893110873,M,N,WHITE,N,N,N,N,Y,Council Grove High School,Council Grove,USA,,BCS,BCSCS,JU
DAILY,2132,000640784,879989150,M,N,WHITE,N,N,N,N,Y,Rockhurst High School,Kansas City,USA,,BCS,BCSCS,JU
DAILY,2132,000640861,826074272,M,N,WHITE,N,N,N,N,Y,Cimarron High School,Cimarron,USA,,BCS,BCSSE,SR
DAILY,2132,000641732,821929002,M,N,WHITE,N,N,N,N,Y,Burlington High School,Burlington,USA,Y,BCS,BCSCS,SR
DAILY,2132,000642192,880493262,M,N,WHITE,N,N,N,N,Y,Blue Valley West High School,Overland Park,USA,,BCS,BCSCS,SO
DAILY,2132,000641711,806815477,M,N,MULTIRAC,Y,N,N,N,Y,Wichita Hs South,Wichita,USA,Y,BCS,BCSSE,JU
DAILY,2132,000641738,813574699,M,N,WHITE,N,N,N,N,Y,Blue Valley High School,Stilwell,USA,,BCS,BCSSE,JU
DAILY,2132,000642343,869942235,M,N,WHITE,N,N,N,N,Y,Northeast Magnet School,Wichita,USA,,BCS,BCSSE,FR
DAILY,2132,000642583,859724596,M,N,WHITE,N,N,N,N,Y,Shawnee Mission South Hs,Shawnee Mission,USA,,BCS,BCSSE,SR
DAILY,2132,000643018,852503077,M,N,WHITE,N,N,N,N,Y,Saint James Academy,Lenexa,USA,,BCS,BCSCS,JU
DAILY,2132,000643693,857783964,M,N,WHITE,N,N,N,N,Y,Maize High School,Maize,USA,,BCS,BCSCS,SO
DAILY,2132,000644482,802076997,M,N,WHITE,N,N,N,N,Y,Shawnee Mission South Hs,Shawnee Mission,USA,,BCS,BCSCS,SO
DAILY,2132,000645148,851933238,M,N,BLACK,N,N,Y,N,N,Northeast Magnet School,Wichita,USA,Y,BCS,BCSCS,SR
DAILY,2132,000646189,802255784,M,N,WHITE,N,N,N,N,Y,Andover Central High School,Andover,USA,,BCS,BCSSE,SO
DAILY,2132,000648333,803647868,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,CHN,Y,BCS,BCSCS,SR
DAILY,2132,000648524,869106065,M,N,WHITE,N,N,N,N,Y,Oxford High School,Oxford,USA,Y,BCS,BCSCS,JU
DAILY,2132,000649512,895493440,M,N,WHITE,N,N,N,N,Y,Maize High School,Maize,USA,Y,BCS,BCSCS,SO
DAILY,2132,000649860,842556868,M,N,WHITE,N,N,N,N,Y,Baldwin High School,Baldwin,USA,,BCS,BCSCS,SO
DAILY,2132,000649871,871005421,M,N,WHITE,N,N,N,N,Y,Greenwood High School,Greenwood,USA,Y,BCS,BCSCS,SO
DAILY,2132,000650155,814063408,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,CHN,Y,BCS,BCSCS,JU
DAILY,2132,000650169,863889937,M,N,WHITE,N,N,N,N,Y,Lyndon High School,Lyndon,USA,Y,BCS,BCSCS,SR
DAILY,2132,000650697,861818567,M,N,WHITE,N,N,N,N,Y,Blue Valley High School,Stilwell,USA,,BCS,BCSCS,SO
DAILY,2132,000651403,815354317,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,CHN,,BCS,BCSCS,SR
DAILY,2132,000653339,874452802,M,N,WHITE,N,N,N,N,Y,Tescott High School,Tescott,USA,,BCS,BCSSE,SO
DAILY,2132,000654584,851806616,F,N,WHITE,N,N,N,N,Y,Washburn Rural High School,Topeka,USA,Y,BCS,BCSCS,FR
DAILY,2132,000654633,804641785,M,N,WHITE,N,N,N,N,Y,Olathe East High School,Olathe,USA,,BCS,BCSCS,JU
DAILY,2132,000655273,816342840,M,N,WHITE,N,N,N,N,Y,Washburn Rural High School,Topeka,USA,,BCS,BCSCS,SO
DAILY,2132,000655838,897223347,M,N,WHITE,N,N,N,N,Y,Great Bend High School,Great Bend,USA,Y,BCS,BCSCS,JU
DAILY,2132,000655989,839263147,M,N,WHITE,N,N,N,N,Y,Logan View Public School,Hooper,USA,,BCS,BCSCS,SO
DAILY,2132,000658359,879566716,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,USA,Y,BCS,BCSCS,JU
DAILY,2132,000659857,858134773,M,N,BLACK,N,N,Y,N,N,Sumner Academy Arts & Science,Kansas City,USA,,BCS,BCSCS,FR
DAILY,2132,000660511,833702623,M,N,WHITE,N,N,N,N,Y,Rockhurst High School,Kansas City,USA,,BCS,BCSCS,FR
DAILY,2132,000660885,874314722,M,N,WHITE,N,N,N,N,Y,Bethel Park Senior High School,Bethel Park,USA,Y,BCS,BCSCS,FR
DAILY,2132,000660827,832654860,F,N,WHITE,N,N,N,N,Y,Junction City Senior Hs,Junction City,USA,Y,BCS,BCSCS,JU
DAILY,2132,000661374,857038707,M,N,WHITE,N,N,N,N,Y,Lincoln High School,Portland,USA,,BCS,BCSCS,SR
DAILY,2132,000664252,851489277,M,N,WHITE,N,N,N,N,Y,Blue Valley High School,Stilwell,USA,,BCS,BCSSE,SO
DAILY,2132,000664380,898788919,M,N,WHITE,N,N,N,N,Y,Cair Paravel-Latin School,Topeka,USA,,BCS,BCSSE,JU
DAILY,2132,000665128,884084526,M,N,WHITE,N,N,N,N,Y,Wichita Hs Southeast,Wichita,USA,Y,BCS,BCSCS,SO
DAILY,2132,000665216,898638107,M,N,WHITE,N,N,N,N,Y,Pembroke Hill School,Kansas City,USA,,BCS,BCSCS,JU
DAILY,2132,000664901,863970212,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,CHN,Y,BCS,BCSSE,SR
DAILY,2132,000664996,892472166,M,N,WHITE,N,N,N,N,Y,Wichita Hs South,Wichita,USA,,BCS,BCSCS,FR
DAILY,2132,000665005,816351916,M,N,WHITE,N,N,N,N,Y,Piper High School,Kansas City,USA,,BCS,BCSCS,FR
DAILY,2132,000665690,862521994,M,N,WHITE,N,N,N,N,Y,Blue Valley High School,Stilwell,USA,,BCS,BCSCS,JU
DAILY,2132,000665871,842016961,M,N,ASIAN,N,Y,N,N,N,Blue Valley Northwest Hs,Overland Park,USA,,BCS,BCSSE,JU
DAILY,2132,000665227,872783109,M,N,BLACK,N,N,Y,N,N,Out-of-Country High School,,USA,,BCS,BCSSE,SR
DAILY,2132,000667032,879671914,M,N,WHITE,N,N,N,N,Y,Trinity Catholic High School,Hutchinson,USA,Y,BCS,BCSSE,SO
DAILY,2132,000667603,822248727,M,N,ASIAN,N,Y,N,N,N,Olathe Northwest High School,Olathe,USA,,BCS,BCSSE,SO
DAILY,2132,000667791,875359352,M,N,WHITE,N,N,N,N,Y,Trinity Academy,Wichita,USA,,BCS,BCSCS,JU
DAILY,2132,000667550,875685221,M,N,WHITE,N,N,N,N,Y,Shawnee Mission Northwest Hs,Shawnee Mission,USA,,BCS,BCSCS,SO
DAILY,2132,000667672,822455880,M,N,WHITE,N,N,N,N,Y,Kansas City Christian School,Prairie Village,USA,,BCS,BCSCS,SO
DAILY,2132,000668388,884248501,M,N,WHITE,N,N,N,N,Y,Central Clinton High School,De Witt,USA,,BCS,BCSCS,SO
DAILY,2132,000668417,825480695,M,N,WHITE,N,N,N,N,Y,Shawnee Mission South Hs,Shawnee Mission,USA,Y,BCS,BCSSE,SO
DAILY,2132,000668233,870555222,M,N,WHITE,N,N,N,N,Y,Christ Preparatory Academy,Kansas City,USA,,BCS,BCSCS,SO
DAILY,2132,000668290,824409690,M,N,WHITE,N,N,N,N,Y,Blue Valley Northwest Hs,Overland Park,USA,,BCS,BCSCS,SO
DAILY,2132,000669891,876835427,M,N,MULTIRAC,N,Y,N,N,Y,Abilene High School,Abilene,USA,,BCS,BCSCS,FR
DAILY,2132,000670536,828286860,M,N,WHITE,N,N,N,N,Y,Mill Valley High School,Shawnee,USA,Y,BCS,BCSCS,FR
DAILY,2132,000671817,830782091,M,N,BLACK,N,N,Y,N,N,Wichita Hs Heights,Wichita,USA,,BCS,BCSSE,SO
DAILY,2132,000672190,814855384,M,N,WHITE,N,N,N,N,Y,Moundridge High School,Moundridge,USA,Y,BCS,BCSSE,SR
DAILY,2132,000672060,839199121,M,N,ASIAN,N,Y,N,N,N,Maize High School,Maize,USA,,BCS,BCSCS,FR
DAILY,2132,000673611,800613419,M,N,WHITE,N,N,N,N,Y,Junction City Senior Hs,Junction City,USA,,BCS,BCSSE,SO
DAILY,2132,000674153,813400187,M,Y,HISPANIC,N,N,N,N,N,Manhattan High School,Manhattan,USA,,BCS,BCSCS,SO
DAILY,2132,000675451,887741240,M,N,WHITE,N,N,N,N,Y,McPherson High School,McPherson,USA,Y,BCS,BCSCS,SO
DAILY,2132,000675869,825716156,M,N,WHITE,N,N,N,N,Y,Burlington High School,Burlington,USA,Y,BCS,BCSCS,SR
DAILY,2132,000675611,818957995,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,IND,Y,BCS,BCSCS,FR
DAILY,2132,000676493,882268509,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,IND,,BCS,BCSCS,SO
DAILY,2132,000677141,885463659,M,N,WHITE,N,N,N,N,Y,Mill Valley High School,Shawnee,USA,,BCS,BCSCS,SO
DAILY,2132,000678748,830655071,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,CHN,,BCS,BCSCS,SO
DAILY,2132,000678971,821940064,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,CHN,,BCS,BCSCS,SO
DAILY,2132,000679049,823258506,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,IND,,BCS,BCSCS,FR
DAILY,2132,000679681,875220674,M,N,ASIAN,N,Y,N,N,N,Shawnee Mission North High Sch,Overland Park,USA,,BCS,BCSCS,SO
DAILY,2132,000680434,888625583,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,CHN,Y,BCS,BCSCS,SR
DAILY,2132,000680556,864391273,M,N,WHITE,N,N,N,N,Y,Shawnee Mission East High Sch,Shawnee Mission,USA,,BCS,BCSCS,FR
DAILY,2132,000680889,875318337,M,N,WHITE,N,N,N,N,Y,McPherson High School,McPherson,USA,,BCS,BCSSE,SO
DAILY,2132,000680892,894458811,M,N,WHITE,N,N,N,N,Y,Olathe East High School,Olathe,USA,,BCS,BCSCS,FR
DAILY,2132,000681831,849220186,M,N,WHITE,N,N,N,N,Y,Mill Valley High School,Shawnee,USA,,BCS,BCSSE,FR
DAILY,2132,000682023,890247887,M,N,WHITE,N,N,N,N,Y,Wichita Northwest High School,Wichita,USA,Y,BCS,BCSCS,FR
DAILY,2132,000682187,818175777,M,N,MULTIRAC,N,N,Y,N,Y,Paola High School,Paola,USA,Y,BCS,BCSCS,FR
DAILY,2132,000682392,815213511,M,N,WHITE,N,N,N,N,Y,Manhattan High School,Manhattan,USA,Y,BCS,BCSCS,FR
DAILY,2132,000682943,856381519,M,N,WHITE,N,N,N,N,Y,Andover High School,Andover,USA,,BCS,BCSCS,FR
DAILY,2132,000683171,826311509,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,CHN,Y,BCS,BCSCS,SO
DAILY,2132,000683294,810250197,M,N,WHITE,N,N,N,N,Y,Seaman High School,Topeka,USA,,BCS,BCSSE,FR
DAILY,2132,000683948,821096643,M,N,WHITE,N,N,N,N,Y,Maize High School,Maize,USA,,BCS,BCSCS,FR
DAILY,2132,000684001,808108810,M,N,WHITE,N,N,N,N,Y,Lyndon High School,Lyndon,USA,Y,BCS,BCSCS,SR
DAILY,2132,000686514,833691303,M,N,WHITE,N,N,N,N,Y,Washburn Rural High School,Topeka,USA,,BCS,BCSCS,FR
DAILY,2132,000686542,884420611,M,Y,HISPANIC,N,N,N,N,Y,Topeka West High School,Topeka,USA,Y,BCS,BCSCS,FR
DAILY,2132,000686996,865389387,M,N,WHITE,N,N,N,N,Y,Sacred Heart Jr-Sr High School,Salina,USA,Y,BCS,BCSCS,FR
DAILY,2132,000687213,869182528,M,N,WHITE,N,N,N,N,Y,Tonganoxie High School,Tonganoxie,USA,,BCS,BCSCS,FR
DAILY,2132,000687425,874940228,M,N,WHITE,N,N,N,N,Y,Olathe North High School,Olathe,USA,,BCS,BCSCS,FR
DAILY,2132,000687401,871536666,M,N,WHITE,N,N,N,N,Y,West Springfield High School,Springfield,USA,,BCS,BCSSE,FR
DAILY,2132,000688057,850228607,M,N,MULTIRAC,N,N,N,Y,Y,Maize High School,Maize,USA,Y,BCS,BCSSE,FR
DAILY,2132,000688596,801907699,M,N,WHITE,N,N,N,N,Y,Olathe South High School,Olathe,USA,,BCS,BCSCS,SO
DAILY,2132,000688715,837581664,M,N,WHITE,N,N,N,N,Y,Lansing High School,Lansing,USA,,BCS,BCSSE,FR
DAILY,2132,000688873,873675484,M,N,WHITE,N,N,N,N,Y,Granite Hills High School,Apple Valley,USA,Y,BCS,BCSCS,JU
DAILY,2132,000688879,885924414,M,N,WHITE,N,N,N,N,Y,Blue Valley West High School,Overland Park,USA,Y,BCS,BCSCS,FR
DAILY,2132,000689022,842707093,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,SAU,,BCS,BCSSE,FR
DAILY,2132,000689097,813843325,M,N,NOTSPEC,N,N,N,N,N,Blue Valley Southwest High Sch,Overland Park,USA,,BCS,BCSCS,SO
DAILY,2132,000690367,874007740,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,CHN,Y,BCS,BCSCS,SO
DAILY,2132,000689829,838705387,M,N,WHITE,N,N,N,N,Y,Sabetha High School,Sabetha,USA,Y,BCS,BCSCS,SO
DAILY,2132,000690461,863570963,M,N,NOTSPEC,N,N,N,N,N,Lawrence Free State Hs,Lawrence,USA,Y,BCS,BCSSE,FR
DAILY,2132,000690783,847478789,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,CHN,,BCS,BCSCS,SO
DAILY,2132,000691132,802821642,M,N,WHITE,N,N,N,N,Y,Gardner Edgerton High School,Gardner,USA,,BCS,BCSCS,FR
DAILY,2132,000691157,856609995,M,N,WHITE,N,N,N,N,Y,Leavenworth Senior High School,Leavenworth,USA,,BCS,BCSCS,FR
DAILY,2132,000691837,881025000,M,N,WHITE,N,N,N,N,Y,Kapaun Mt Carmel Catholic Hs,Wichita,USA,,BCS,BCSCS,FR
DAILY,2132,000692568,899690305,M,N,WHITE,N,N,N,N,Y,Burlington High School,Burlington,USA,,BCS,BCSCS,JU
DAILY,2132,000692586,849300366,M,N,WHITE,N,N,N,N,Y,Blue Valley North High School,Overland Park,USA,,BCS,BCSSE,FR
DAILY,2132,000692596,877767042,M,N,ASIAN,N,Y,N,N,N,Out-of-Country High School,,IND,,BCS,BCSCS,SO
DAILY,2132,000692900,832421444,M,N,WHITE,N,N,N,N,Y,Quinter High School,Quinter,USA,Y,BCS,BCSCS,FR
DAILY,2132,000691607,832179253,M,Y,HISPANIC,N,N,N,N,Y,Salina High School Central,Salina,USA,,BCS,BCSCS,FR
DAILY,2132,000691747,866787127,F,N,BLACK,N,N,Y,N,N,Bellevue East High School,Bellevue,USA,,BCS,BCSCS,FR
DAILY,2132,000691825,863232219,M,N,WHITE,N,N,N,N,Y,Southeast Saline Senior Hs,Gypsum,USA,Y,BCS,BCSCS,FR
DAILY,2132,000692768,864739999,M,N,WHITE,N,N,N,N,Y,Manhattan High School,Manhattan,USA,,BCS,BCSCS,SO
DAILY,2132,000693743,805707848,M,N,WHITE,N,N,N,N,Y,Blue Valley West High School,Overland Park,USA,,BCS,BCSCS,FR
